myers_briggs,question,personality,avg_match,phys_ranks
ENFJ,persistent/quitter,persistent,85.27580645161291,5
ENFJ,motivated/unmotivated,motivated,84.83225806451613,4
ENFJ,loyal/traitorous,loyal,84.7483870967742,3
ENFJ,egalitarian/racist,egalitarian,84.73548387096774,2
ENFJ,diligent/lazy,diligent,84.24354838709678,1
ENFP,chatty/reserved,chatty,83.06603773584905,5
ENFP,open to new experinces/uncreative,open to new experinces,82.86194690265486,4
ENFP,soulful/soulless,soulful,82.51150442477876,3
ENFP,emotional/unemotional,emotional,81.71140350877192,2
ENFP,expressive/stoic,expressive,81.68053097345133,1
ENTJ,driven/unambitious,driven,87.32626262626263,5
ENTJ,bold/shy,bold,86.44040404040405,4
ENTJ,persistent/quitter,persistent,86.38686868686868,3
ENTJ,motivated/unmotivated,motivated,84.75656565656566,2
ENTJ,bossy/meek,bossy,83.79489795918367,1
ENTP,mischievous/well behaved,mischievous,87.32268907563025,5
ENTP,bold/shy,bold,85.68823529411765,4
ENTP,tame/wild,wild,84.90336134453781,3
ENTP,neutral/opinionated,opinionated,84.37310924369748,2
ENTP,cocky/timid,cocky,84.26923076923077,1
ESFJ,feminine/masculine,feminine,83.0125,5
ESFJ,diligent/lazy,diligent,82.67272727272727,4
ESFJ,beautiful/ugly,beautiful,81.84705882352941,3
ESFJ,loyal/traitorous,loyal,81.67941176470588,2
ESFJ,cruel/kind,kind,81.6735294117647,1
ESFP,feminine/masculine,feminine,92,5
ESFP,reclusive/social,social,87.3,4
ESFP,playful/shy,playful,87.03571428571429,3
ESFP,extrovert/introvert,extrovert,86.72142857142858,2
ESFP,chatty/reserved,chatty,86.05,1
ESTJ,persistent/quitter,persistent,85.92727272727272,5
ESTJ,diligent/lazy,diligent,85.73333333333333,4
ESTJ,motivated/unmotivated,motivated,85.35204081632654,3
ESTJ,driven/unambitious,driven,84.39393939393939,2
ESTJ,slacker/workaholic,workaholic,83.61546391752577,1
ESTP,bold/shy,bold,87.63478260869566,5
ESTP,cocky/timid,cocky,85.7804347826087,4
ESTP,asexual/sexual,sexual,84.24047619047619,3
ESTP,feminine/masculine,masculine,83.575,2
ESTP,jock/nerd,jock,82.31555555555555,1
INFJ,egalitarian/racist,egalitarian,85.7,5
INFJ,bookish/sporty,bookish,83.65,4
INFJ,high IQ/low IQ,high IQ,83.09166666666667,3
INFJ,loyal/traitorous,loyal,82.66363636363637,2
INFJ,diligent/lazy,diligent,81.33333333333334,1
INFP,jock/nerd,nerd,83.10588235294118,5
INFP,clumsy/coordinated,clumsy,81.62105263157895,4
INFP,captain/first-mate,first-mate,80.99473684210527,3
INFP,normal/weird,weird,79.89473684210526,2
INFP,relaxed/tense,relaxed,79.5,1
INTJ,guarded/open,guarded,85.62448979591836,5
INTJ,open-book/secretive,secretive,84.67142857142858,4
INTJ,diligent/lazy,diligent,83.28571428571429,3
INTJ,persistent/quitter,persistent,83.14285714285714,2
INTJ,high IQ/low IQ,high IQ,81.96530612244898,1
INTP,🎨/🏀,🎨,92.25,5
INTP,bookish/sporty,bookish,90.6,4
INTP,extrovert/introvert,introvert,90.36666666666666,3
INTP,f***-the-police/tattle-tale,f***-the-police,90,2
INTP,reclusive/social,reclusive,89.56666666666666,1
ISFJ,cruel/kind,kind,81.94733333333333,5
ISFJ,jock/nerd,nerd,81.88421052631578,4
ISFJ,loyal/traitorous,loyal,81.73716216216216,3
ISFJ,bookish/sporty,bookish,81.5812030075188,2
ISFJ,diligent/lazy,diligent,81.56054421768708,1
ISFP,manicured/scruffy,manicured,90.3,5
ISFP,captain/first-mate,first-mate,88,4
ISFP,main character/side character,side character,86.425,3
ISFP,old/young,young,85.1,2
ISFP,🧗/🛌,🛌,84.75,1
ISTJ,scheduled/spontaneous,scheduled,83.83417721518987,5
ISTJ,deliberate/spontaneous,deliberate,82.48354430379747,4
ISTJ,playful/serious,serious,82.25,3
ISTJ,relaxed/tense,tense,81.19868421052631,2
ISTJ,imaginative/practical,practical,81.15974025974026,1
ISTP,optimistic/pessimistic,pessimistic,82.85555555555555,5
ISTP,manicured/scruffy,scruffy,81.0375,4
ISTP,bright/depressed,depressed,80.78888888888889,3
ISTP,gloomy/sunny,gloomy,80.43333333333334,2
ISTP,joyful/miserable,miserable,80,1
